id,text
0,oh I don't have the pieces cause I have no idea where you put them
1,maybe they're in the bottom of your toy box but
2,you can't take your rake on the swing but you can
3,you wanna take your big bird rake on the swing
4,I don't know where the other pieces are
5,oh you know what cause I think Mommy put it the wrong way let's try this way
6,the other are you sitting on any other ones
7,no I don't wanna kiss the piggy anymore
8,let's use our noses and find things to smell your beak or your snuffle will work just as well
9,smell the bread while it bakes and the blueberry pie smell the freshly washed clothes as they're hung out to dry
10,smell the earth and the trees after warm summer showers breath in the sweet smell from a field full of flowers
11,alright I don't know if I remember how to do this
12,hold your nose as you pass Oscar's pile of junk
13,now I'll relax in my bubble filled tubby and smell fresh and clean as I rub_a_dub dubbie
14,everyone loves something babies love noise birds love singing
15,kids loves toys Burt loves pigeons and pigeons love to coo can you guess who Elmo loves
16,farmers love to wake up early roosters love to crow
17,the count loves counting things Ernie loves to drum
18,look at these lovely things Mommy has for you
19,foot stool I think if you wanna you know put something on
20,everyone loves something Elmo told you this was true and now you know who Elmo loves Elmo loves you
21,you wanna give me a hug or you wanna
22,howbout over here let's try to do it away from the wind
23,this is a g and an h where's the h
24,we're runninouta things to do because it's too hot to go outside
25,and here's your beads I'll givya beads
26,hold it this way like I showed you this way
27,you shouldn't don't touch the candle cause I don't know though what that candle is made out of
28,Al I think we need to clean out your toys
29,and get rid of some of these toys I know you don't play with
30,I'll leave that if you'd like to use the fork
31,xxx I just put on the news station xxx I just pressed the button to check
32,how how can I read it you turn the pages so fast
33,and this little piggy cried wee wee wee wee wee wee wee wee wee wee wee wee wee wee wee wee wee wee wee
34,you're funny where's your fishies
35,ooh look Mommy look what Mommy found we haven't read this one in awhile
36,uh xxx no it's a train track it's not a telephone
37,okay okay don't throw it cause you could hit yourself in the head
38,here's a train to toot here's a duck to squeak
39,here's a drum to bang here's a phone to ring
40,here's a jack+in+the+box to pop here are blocks to crash
41,over there oh you can't see it it's turning
42,here's a car to honk here's a teddy monster to wish good night
43,no I was waiting for you to notice that
44,go on would you like to get your books
45,lemme see I don't know though I don't know if this will work
46,which doesn't work very well and this is with the little horn
47,cows moo pigeons coo goats bleat birdies tweet
48,and I did like a teenie tiny little package you can squeeze through
49,chicks peep crickets cheep horses neigh donkeys spray but rubber duckies don't say quack
50,oh oh it's not a big deal just ignore it just ignore it it's not
51,a b c d e f g h i j k l m n o p q r s t u v w x y and z
52,parrots talk hens squawk peacocks shriek and children speak but rubber duckies absolutely never say quack
53,oh that's okay y'know I don't have it set up right
54,pigs snuffle bunnies wuffle roosters crow elephants blow
55,and I have the new People Magazine if you're interested
56,it's a little hot I'll do the soup you do the peaches okay
57,wait a minute Alex let Mommy fix this real quick I promise
58,lemmee just get the rest of his crayons
59,are you gonna stay over here with me
60,I think we're only down to one or two because you tore your Sesame_Street coloring book to shreds
61,gonna hafta share these crayons with me
62,you just have_to pay attention to when you run you run so fast
63,what else could we do we did all these things a hundred times today
64,oh let's try to keep the crayons on the table though
65,I say he's gonna need a haircut every month
66,you have two drums but we don wanna do them
67,rocky feels better when he visits the vet
68,I like these trains I wish you'd let me fix the track for you
69,well because I babysat for my one friends and she had it so I I read it the whole thing while I was there cause they were playin'
70,you can write in the book and then we can wash it clean when you're all done
71,you know what let Mommy go get your crayon box upstairs
72,don't even tell me you're gonna jump that wall
73,another one bit the dust I'll gechu another one
74,the crab likes walking sideways and I think the reason why
75,is to make himself look sneaky and pretend that he's a spy
76,getcha blocks and your books and all your things
77,maybe we can clean out these toys and straighten them out a little bit cause they have just been tossed in here
78,maybe you can pick some to give to some other kids
79,we lay a whole batch and then when they hatch they scamper up out in the sand
80,would you like to pick a page for Mommy to color
81,the little blue engine is on her way all aboard
82,oh wait now show me show me what you'd like to do
83,she's carrying toys and good things to eat
84,for all the boys and girls on the other side of the mountain
85,let's get ridda this one cause it's just too loud
86,what a shame there are no other creatures as gorgeous and lovely as me
87,I think I can I think I can I think I can I think I can I think I can I think I can
88,oh very good you got the right page and everything
89,oh I knew we couldn't do it without dripping
90,I wake up every morning I greet the shining sun
91,why donchu sit on the rug instead of the cold floor
92,then I wake up xxx and we're ready for some fun
93,I think I can I think I can I think I can I think I can
94,I'll push it over look look look look I'll push it over
95,a b c d e f g h i j k l m n o p q r s t u v w x y z
96,if I eat sardines and ice cream I feel grouchy all day
97,what's in this box Alex look at would you like to open this box
98,you read the book to Mommy you read it
99,the yuckier the better that's what Slimy and I say
100,did you would you like to read the Big_and_Small_Short_and_Tall
101,Alex xxx all over your face where're you getting dirt from
102,cows moo pigeons coo goats bleat birdies tweet
103,let's use our noses and find things to smell
104,first I clean my room then it's time to play
105,okay xxx would you like to put them all in here
106,I think I can I think I can I think I can I think I can
107,Bernice is always by my side it's much more fun that way
108,chicks peep crickets cheap horses neigh donkeys spray but rubber duckies never say quack
109,scrubby dub dub it's time for the tub
110,look at all these bubbles I think this one is empty
111,parrots talk hens squawk peacocks shriek and children speak
112,I always have a laugh when my pal rubber duckie joins me in the bath
113,and then what's the other word you know how to spell
114,but rubber duckies absolutely never say quack
115,smell the earth and the trees and the warm summer showers
116,xxx wow oh let's go on the step stool come over here come over here look at
117,pigs snuffle bunnies wuffle roosters crow and elephants blow but rubber duckies absolutely never ever say quack
118,Mimi and I settle in a cuddled and a cozy nook
119,I keep I keep it it's too big see ya later bye bye can I see you things
120,it looks like a dragonfly but it isn't
121,come with Mommy and I'll help ya I'll get ya a bowl
122,now we're ready for story time when we read our favorite book
123,and smell fresh and clean as I rub a dub dubby
124,no it has a different name to it but I can never remember what
125,put it in there put it inside the pocket oh very nice okay now smooth it out
126,it's been a busy day for Elmo it's time to go to sleep
127,here Mommy will get it take a bite and I'll go get the play+dough
128,this one I don't think you you don't like this one too much
129,Elmo's best friend David helps Elmo count some sheep
130,no we're not gonna watch videos right now
131,choo choo choo choo choo choo choo choo choo choo choo choo choo
132,yeah take one more bite xxx I'll go get your play+dough for you
133,xxx Mommy's trying to figure out how we can
134,and would ya like to get on your step stool
135,yeah and I have_to fix your pants though your pants are falling
136,you can't eat that honey you cannot eat that
137,big bird I wake up every morning I greet the shining star
138,wow oh and it even has a baking sheet
139,sun then when I wake up Rita we're ready for some fun
140,I know you can say it you say you say moon
141,I eat sardines and ice cream I feel grouchy all day
142,the yuckier the better that's what slimy and I say
143,now what are we going to mix would you like to get some things some things to mix
144,stay away from that Daddy has to throw that away
145,I wish Gigi would hurry up with the eggs
146,Bernice is always by my side it's much more fun that way
147,I'm trying to find wait what puzzle pieces I have_to look for
148,alright let's see what Mommy can find in here for you to play with
149,don't put your crayons over there cause then they'll fall
150,would you like me to help you mail the letter
151,I always have a laugh when my pal rubber duckie joins me in the bath
152,I'll leave your crackers and this out in case you need a snack because you didn't eat very much
153,Mimi and I settle in and cuddle in a cozy nook
154,now we're ready for story time when we read our favorite book
155,very good you found the flower I'm so proud of you
156,it's been a busy day for Elmo it's time to go to sleep
157,oh that's what a drum says boom boom boom
158,c'mere want me to read you want Mommy to read it for you
159,what are you trying to do you can't sit that way
160,Elmo's best friend David helps Elmo count some sheep
161,oh no I'm not complaining or anything I just don't
162,go get a book would you like to read a book
163,I don't I'm not too crazy about this one
164,oh look what you xxx did you crushed your cracker
165,you gonna put the macaroni in here look
166,you're gonna rake look at all these toys and books and things
167,pop pop pop pop pop pop pop pop pop pop pop pop
168,oh no it didn't go on the rug it xxx his shirt
169,that's water but I don't want you to touch that okay
170,yeah push your crayons over so you can see 'em
171,Alex are ya throwing it on the floor honey don't throw the macaroni on the floor
172,you have_to get up honey you can't sleep on the job
173,here you have that one back and you can give me dandelion and brown
174,okay you pick the color that you want Mommy to use
175,bee bee bee bee bee bee bee bee bee bee bee
176,you can't start to sleep on the job now you're too little
177,you're such a nice boy when you let Mommy help you
178,this is a big spoon look at this big spoon
179,it is good for sleeping I have fallen asleep out here before
180,would cha like to get a big pile of leaves for the squirrel to jump into
181,let's use our nose and find things to smell
182,oh look at this one wow that's a huge sticker
183,the lounge chairs were out here are you gonna get any
184,okay put it over here so the squirrel can jump in the leaves
185,smell the bread as it bakes and the blueberry pie
186,and pigeons love to coo can you guess what Elmo loves
187,smell the freshly washed clothes as they're hung out to dry
188,I'm just gonna push it over a little bit there can you smooth it out
189,that what your looking for I think there's one in the garage
190,cause she's a girl so you have_to pick girl colors
191,piggies love to roll in mud penguins love the snow
192,farmers love to wake up early roosters love to crow
193,breath in the sweet smell from a field full of flowers
194,Elmo's guessing game where's Elmo's boots
195,we are making a mess I have_to go get you a shirt now
196,no no don't eat that I'll give you a snack
197,hold your nose as you pass Oscar's pile of junk
198,the Count loves counting things Ernie loves to drum
199,run as fast as you can his smelly pet skunk
200,well you have_to put it all over the apple see
201,ah will you feed him while I go get him a shirt he's having a heart attack
202,that's not enough you have_to make a tower and then knock it down one two
203,and smell fresh and clean as I rub a dub dubby
204,pick one which one would you like to do now
205,I don't blame you Alex Mommy's tired too
206,let's put the books away if we're all done reading
207,that's a page from the book that you tore
208,hey what are you doing what are you doing
209,would you like to put on one of the socks
210,c'mon honey would you like to play with your train
211,oh that's a nice book Mommy likes this one
212,but you skipped four you skipped one you skipped four
213,d'you wanna do this d'you wanna put these in
214,please be careful with the rake shouldn't have that in the
215,my name is Joey Joey Joe Joe Joe Joe Joey
216,oh you're gonna pick me out another one
217,wanna give the socks to who is that Rosita or Zoe I can't see
218,oh_no you're not supposed to be touching that
219,that is Rosita would you like to give them to Grover
220,oh he needs how do they want you to oh like this
221,Alex I'm just gonna open a new box
222,because that one's got too much crumbs at the end
223,here here's your bee book this is the one that you like
224,would ya what would you like to do one of these on page eight a candy a little candy here's a caramel
225,one two three four five six seven eight nine ten eleven twelve
226,doo doo doo doo doo oh don't take your socks off
227,oh look you can make an Elmo I just noticed that look
228,that's okay if they fall Mommy will sweep them up later okay
229,how come you didn't wanna take a nap this morning
230,you're right I probably I probably shouldn't
231,feed the you would like to feed the candy to the count
232,then maybe you'll take a nap and then we'll go play in the snow later okay
233,well there's your graham cracker ya didn't finish
234,what's in here Alex look at this what's this
235,alright let's keep eating with the dirty shirt and then we'll put on a clean shirt
236,that's why we have_to sit at the table when we do play+dough
237,say I don't sleep this is what happens
238,he does a lot of work too around the house for us
239,don't sleep at night I don't sleep during the day I just don't like to sleep
240,we are gonna show everybody on camera that you're being naughty you're not listening
